都道府県,市町村名,役所名,lon,lat
北海道,石狩市,石狩市役所,141.315514,43.171365
北海道,千歳市,千歳市役所,141.651139,42.821124
北海道,北広島市,北広島市役所,141.563625,42.985663
北海道,中川町,中川町役場,142.071409,44.811488
北海道,美深町,美深町役場,142.342963,44.480994
北海道,占冠村,占冠村役場,142.398526,42.979836
北海道,恵庭市,恵庭市役所,141.577799,42.882592
北海道,比布町,比布町役場,142.477699,43.875021
北海道,美瑛町,美瑛町役場,142.467055,43.588279
北海道,和寒町,和寒町役場,142.413383,44.023119
北海道,音威子府村,音威子府村役場,142.262458,44.725096
北海道,函館市,函館市役所,140.729108,41.768712
北海道,渡島総合振興局,渡島総合振興局,140.753345,41.819841
北海道,北斗市,北斗市役所,140.653067,41.824174
北海道,鹿部町,鹿部町役場,140.815907,42.038567
北海道,むかわ町,むかわ町役場,141.926761,42.574741
北海道,安平町,安平町役場,141.818047,42.762798
北海道,厚真町,厚真町役場,141.877841,42.723566
北海道,壮瞥町,壮瞥町役場,140.885472,42.552556
北海道,苫小牧市,苫小牧市役所,141.605503,42.634094
北海道,洞爺湖町,洞爺湖町役場,140.764128,42.551223
北海道,豊浦町,豊浦町役場,140.711815,42.583464
北海道,白老町,白老町役場,141.355861,42.551259
北海道,伊達市,伊達市役所,140.864702,42.471898
北海道,室蘭市,室蘭市役所,140.973784,42.315204
北海道,胆振総合振興局,胆振総合振興局,140.972194,42.320522
北海道,登別市,登別市役所,141.106556,42.412735
北海道,新冠町,新冠町役場,142.318315,42.362417
北海道,新ひだか町,新ひだか町役場,142.368588,42.341276
北海道,えりも町,えりも町役場,143.148348,42.016298
北海道,様似町,様似町役場,142.933797,42.127737
北海道,浦河町,浦河町役場,142.768213,42.168355
北海道,日高振興局,日高振興局,142.768136,42.17259
北海道,日高町,日高町役場,142.074359,42.480318
北海道,平取町,平取町役場,142.128525,42.585098
北海道,福島町,福島町役場,140.251315,41.483783
北海道,知内町,知内町役場,140.418861,41.598377
北海道,木古内町,木古内町役場,140.437635,41.678332
北海道,八雲町,八雲町役場,140.265224,42.255918
北海道,森町,森町役場,140.576446,42.104992
北海道,七飯町,七飯町役場,140.694405,41.895711
北海道,長万部町,長万部町役場,140.380344,42.513488
北海道,松前町,松前町役場,140.110403,41.429981
北海道,今金町,今金町役場,140.008766,42.429373
北海道,厚沢部町,厚沢部町役場,140.225475,41.920895
北海道,江差町,江差町役場,140.12756,41.869244
北海道,檜山振興局,檜山振興局,140.128199,41.859512
北海道,小平町,小平町役場,141.662828,44.015141
北海道,奥尻町,奥尻町役場,139.514121,42.17226
北海道,せたな町,せたな町役場,139.882999,42.417145
北海道,乙部町,乙部町役場,140.13546,41.968504
北海道,天塩町,天塩町役場,141.745324,44.888121
北海道,羽幌町,羽幌町役場,141.697249,44.36061
北海道,初山別村,初山別村役場,141.766342,44.532149
北海道,苫前町,苫前町役場,141.652932,44.306086
北海道,留萌市,留萌市役所,141.637009,43.940987
北海道,留萌振興局,留萌振興局,141.655905,43.934749
北海道,増毛町,増毛町役場,141.524978,43.856063
北海道,遠別町,遠別町役場,141.792322,44.722462
熊本県,御船町,御船町役場,130.801821,32.714585
熊本県,嘉島町,嘉島町役場,130.7573034,32.74007245
熊本県,益城町,益城町役場,130.816418,32.791397
熊本県,甲佐町,甲佐町役場,130.811466,32.651356
熊本県,産山村,産山村役場,131.216799,32.995747
熊本県,高森町,高森町役場,131.122023,32.827271
熊本県,西原村,西原村役場,130.903036,32.834719
熊本県,南阿蘇村,南阿蘇村役場,131.031444,32.821978
熊本県,大津町,大津町役場,130.868284,32.87899
熊本県,菊陽町,菊陽町役場,130.828654,32.862515
熊本県,南小国町,南小国町役場,131.070724,33.098192
熊本県,小国町,小国町役場,131.068157,33.121568
熊本県,玉東町,玉東町役場,130.628593,32.918905
熊本県,南関町,南関町役場,130.541126,33.061599
熊本県,長洲町,長洲町役場,130.4527,32.929756
熊本県,和水町,和水町役場,130.605813,32.978158
熊本県,あさぎり町,あさぎり町役場,130.897827,32.240321
熊本県,苓北町,苓北町役場,130.05472,32.513413
大分県,大分市,大分市役所,131.609377,33.239526
大分県,別府市,別府市役所,131.491328,33.284642
熊本県,相良村,相良村役場,130.797985,32.23526
熊本県,五木村,五木村役場,130.827833,32.397343
熊本県,山江村,山江村役場,130.767136,32.246465
熊本県,球磨村,球磨村役場,130.651274,32.252621
熊本県,錦町,錦町役場,130.840902,32.200987
熊本県,多良木町,多良木町役場,130.935795,32.264039
熊本県,湯前町,湯前町役場,130.980987,32.276144
熊本県,水上村,水上村役場,131.009541,32.314379
熊本県,山都町,山都町役場,130.985998,32.685795
熊本県,氷川町,氷川町役場,130.673753,32.582402
熊本県,芦北町,芦北町役場,130.493119,32.299102
熊本県,津奈木町,津奈木町役場,130.439621,32.233892
大分県,姫島村,姫島村役場,131.645143,33.724536
大分県,日出町,日出町役場,131.532536,33.369442
大分県,九重町,九重町役場,131.188797,33.228521
大分県,玖珠町,玖珠町役場,131.151553,33.283135
大分県,宇佐市,宇佐市役所,131.349545,33.531972
大分県,豊後大野市,豊後大野市役所,131.585011,32.978152
大分県,由布市,由布市役所,131.426792,33.179996
大分県,国東市,国東市役所,131.731676,33.565302
大分県,津久見市,津久見市役所,131.861219,33.072339
大分県,竹田市,竹田市役所,131.397838,32.973673
大分県,豊後高田市,豊後高田市役所,131.444697,33.557257
大分県,杵築市,杵築市役所,131.616089,33.417029
大分県,中津市,中津市役所,131.18824,33.598302
大分県,日田市,日田市役所,130.94131,33.321041
大分県,佐伯市,佐伯市役所,131.899499,32.960204
大分県,臼杵市,臼杵市役所,131.804638,33.125948
宮崎県,綾町,綾町役場,131.253182,31.999135
宮崎県,高鍋町,高鍋町役場,131.503341,32.12799
宮崎県,新富町,新富町役場,131.487984,32.068937
宮崎県,西米良村,西米良村役場,131.154452,32.226354
宮崎県,えびの市,えびの市役所,130.810841,32.045347
宮崎県,三股町,三股町役場,131.12492,31.730686
宮崎県,高原町,高原町役場,131.00787,31.928413
宮崎県,国富町,国富町役場,131.323535,31.990646
宮崎県,小林市,小林市役所,130.972674,31.996657
宮崎県,日向市,日向市役所,131.623962,32.422947
宮崎県,串間市,串間市役所,131.228306,31.464539
宮崎県,西都市,西都市役所,131.401266,32.108562
宮崎県,宮崎市,宮崎市役所,131.420244,31.907676
宮崎県,都城市,都城市役所,131.061497,31.719519
宮崎県,延岡市,延岡市役所,131.664859,32.582401
宮崎県,日南市,日南市役所,131.378731,31.601932
佐賀県,伊万里市,伊万里市役所,129.880702,33.264741
佐賀県,武雄市,武雄市役所,130.01915,33.193751
佐賀県,鹿島市,鹿島市役所,130.098603,33.103804
佐賀県,小城市,小城市役所,130.21728,33.273776
佐賀県,佐賀市,佐賀市役所,130.300835,33.263543
佐賀県,唐津市,唐津市役所,129.96797,33.450103
佐賀県,鳥栖市,鳥栖市役所,130.506244,33.377758
佐賀県,多久市,多久市役所,130.110061,33.288513
福岡県,吉富町,吉富町役場,131.175951,33.602643
福岡県,上毛町,上毛町役場,131.164207,33.578425
